pmt,amax,taumax,amin,taumin,eamax,etaumax,eamin,etaumin,npoints,nfitpoints,chi2,ndof,voltage
0,0.45144744441041,259833626.62387726,0.24745717455283495,172.74135406514554,0.0057025269020044,1.9349939751474054e-11,0.004015169963429702,9.388707762605796,40,40,0.21947948215066554,36,1871.0
1,0.5408662894482709,4418.202974996973,0.1567824509080294,183.70179731900734,0.16106550962016192,10633.046713905784,0.15728197584609122,141.77199486642948,40,40,0.2858048647932538,36,1714.0
2,0.24651388626700435,8306432528.492222,0.9999999999999999,4.699477503181888,0.024945094908134038,2.336328371301218e-16,9.58107122084178,15.941179533567656,40,40,73.73186524415966,35,1679.0
3,0.4039142325286785,480829679.79486597,0.21627090904826873,162.96675982155733,0.004891954636000603,4.702178550975083e-12,0.003438790160178024,9.014884879153124,40,40,0.23034897622183528,36,1881.0
4,0.5693379222579288,2783.158977543057,0.14698780370166903,166.2383754069371,0.18797893546767855,4957.241524448724,0.1825543862957938,162.26749272131963,40,40,0.5033643136519564,36,1533.0
5,0.5047557736887978,209643055.6979516,0.2353898852541133,313.88083377054846,0.020482604379556117,3.781464186345775e-10,0.01780445907376558,45.913048060258625,40,40,0.29076346623892346,36,1475.0
6,0.5625804411168854,3770.127612684846,0.13626300956044907,147.85077095641736,0.08607226469761865,4623.710332527648,0.08245437380055028,78.43543959906923,40,40,0.31289064745677075,36,1705.0
7,0.38983555375724127,77075.70974991031,0.11064428784151618,81.16156091044273,0.018501708223398982,872258.1442093537,0.015552707043661856,18.440696513746683,40,40,0.28526012494798747,36,1602.0
8,0.36888028121841,670755169.7930428,0.269846697102717,218.98178549545563,0.012315520512563,4.230379863514129e-12,0.00978725409742742,19.416638188325443,40,40,0.2795308366257006,36,1740.0
9,0.4898492844112744,2857499.540699839,0.209754384216633,259.4811530237123,0.4756189164417962,11597465724.340628,0.470661077935814,410.345062939936,40,40,0.3912228524515069,36,1662.0
10,0.4707487191072227,1305347250.103405,0.22523605564764926,203.09763649538948,0.00852312760618401,3.3755467346821885e-12,0.006222675243508415,16.495734770929186,40,40,0.29094900868283846,36,1757.0
11,0.3864643717246388,82786353.75300525,0.23552799409968622,203.79547155101548,0.007413396028394204,2.776033900820069e-10,0.005596695977097955,13.310420572745072,40,40,0.21621895920078893,36,1818.0
12,0.4518093026515217,29886722.19835455,0.2757551459797325,322.99102665401216,0.06818805098532836,4.098512856614692e-08,0.06028408914998441,130.67290022720968,40,40,1.9817520832870743,36,1688.0
