x,y,z
-381.0700000000001,-76.24999999999999,-872.9
-381.0700000000001,29.35000000000001,-872.9
-381.0700000000001,-129.04999999999998,-823.02
-381.0700000000001,-23.44999999999999,-823.02
-381.0700000000001,82.15,-823.02
-381.0700000000001,-129.04999999999998,-773.14
-381.0700000000001,-23.44999999999999,-773.14
-381.0700000000001,82.15,-773.14
-381.0700000000001,-76.24999999999999,-723.26
-381.0700000000001,29.35000000000001,-723.26
-381.0700000000001,-76.24999999999999,-673.38
-381.0700000000001,29.35000000000001,-673.38
-381.07000000000005,-129.04999999999998,-623.5
-381.07000000000005,-23.44999999999999,-623.5
-381.07000000000005,82.15,-623.5
-381.07000000000005,-129.04999999999998,-573.62
-381.07000000000005,-23.44999999999999,-573.62
-381.07000000000005,82.15,-573.62
-381.07000000000005,-76.24999999999999,-523.74
-381.07000000000005,29.35000000000001,-523.74
-381.07000000000005,-76.24999999999999,-473.86
-381.07000000000005,29.35000000000001,-473.86
-381.07000000000005,-129.04999999999998,-423.98
-381.07000000000005,-23.44999999999999,-423.98
-381.07000000000005,82.15,-423.98
-381.07000000000005,-129.04999999999998,-374.1
-381.07000000000005,-23.44999999999999,-374.1
-381.07000000000005,82.15,-374.1
-381.07000000000005,-76.24999999999999,-324.22
-381.07000000000005,29.35000000000001,-324.22
-381.07000000000005,-76.24999999999999,-274.34
-381.07000000000005,29.35000000000001,-274.34
-381.07000000000005,-129.04999999999998,-224.46
-381.07000000000005,-23.44999999999999,-224.46
-381.07000000000005,82.15,-224.46
-381.07,-129.04999999999998,-174.58
-381.07,-23.44999999999999,-174.58
-381.07,82.15,-174.58
-381.07,-76.24999999999999,-124.7
-381.07,29.35000000000001,-124.7
-381.07,-76.24999999999999,-74.82
-381.07,29.35000000000001,-74.82
-381.07,-129.04999999999998,-24.94
-381.07,-23.44999999999999,-24.94
-381.07,82.15,-24.94
-381.07,-129.04999999999998,24.94
-381.07,-23.44999999999999,24.94
-381.07,82.15,24.94
-381.07,-76.24999999999999,74.82
-381.07,29.35000000000001,74.82
-381.07,-76.24999999999999,124.7
-381.07,29.35000000000001,124.7
-381.07,-129.04999999999998,174.58
-381.07,-23.44999999999999,174.58
-381.07,82.15,174.58
-381.07,-129.04999999999998,224.46
-381.07,-23.44999999999999,224.46
-381.07,82.15,224.46
-381.06999999999994,-76.24999999999999,274.34
-381.06999999999994,29.35000000000001,274.34
-381.06999999999994,-76.24999999999999,324.22
-381.06999999999994,29.35000000000001,324.22
-381.06999999999994,-129.04999999999998,374.1
-381.06999999999994,-23.44999999999999,374.1
-381.06999999999994,82.15,374.1
-381.06999999999994,-129.04999999999998,423.98
-381.06999999999994,-23.44999999999999,423.98
-381.06999999999994,82.15,423.98
-381.06999999999994,-76.24999999999999,473.86
-381.06999999999994,29.35000000000001,473.86
-381.06999999999994,-76.24999999999999,523.74
-381.06999999999994,29.35000000000001,523.74
-381.06999999999994,-129.04999999999998,573.62
-381.06999999999994,-23.44999999999999,573.62
-381.06999999999994,82.15,573.62
-381.06999999999994,-129.04999999999998,623.5
