pmt,nentries,mu,emu,q,eq,sigma,esigma,amplitude,eamplitude,chi2,ndf,fitstatus
0,24552,0.294571,0.013225,0.571373,0.005528,0.236889,0.004501,1697.840576,69.212898,143.635208,36,0
1,18970,0.352453,0.016071,0.555415,0.006475,0.248204,0.005525,1488.973511,60.238419,60.999882,36,0
2,16190,0.368619,0.017121,0.510660,0.007153,0.238464,0.006005,1461.040405,60.806221,98.033913,36,0
3,18751,0.346847,0.014565,0.535789,0.005865,0.234217,0.004887,1713.973389,64.622574,134.707764,36,0
4,16761,0.399638,0.017274,0.528733,0.006970,0.245770,0.005775,1442.777344,55.073162,76.763725,36,0
5,2188,0.100000,0.017274,0.800000,0.006970,0.300000,0.005775,406.600006,55.073162,76.763725,36,-1
6,23725,0.369315,0.013290,0.496689,0.005450,0.218931,0.004385,2031.901123,65.773811,177.381180,36,0
7,22948,0.342039,0.013413,0.535165,0.005483,0.232536,0.004485,1921.150269,67.367447,120.617249,36,0
8,22151,0.396467,0.016716,0.510237,0.006954,0.246433,0.005762,1722.436523,63.639378,116.334732,36,0
9,16730,0.343625,0.013342,0.543978,0.005126,0.222531,0.004201,1722.654663,59.724560,139.868835,36,0
10,27109,0.442601,0.017590,0.491775,0.006804,0.231290,0.005995,1608.246460,56.339996,84.026489,36,0
11,21306,0.374496,0.014266,0.504437,0.005554,0.224225,0.004839,1940.728027,66.522560,130.921249,36,0
12,20780,0.352665,0.014262,0.522788,0.005543,0.235716,0.005066,2092.211670,78.074730,125.508514,36,0
13,21259,0.362261,0.014261,0.555436,0.005548,0.251932,0.004942,2010.170410,70.916954,102.664307,36,0
14,19750,0.305629,0.014900,0.565444,0.006619,0.270680,0.005460,2086.444336,91.873940,81.174423,36,0
15,26077,0.343178,0.014610,0.538042,0.006149,0.250561,0.005080,1975.688599,75.143723,120.942245,36,0
16,22089,0.372681,0.015125,0.528829,0.006022,0.248136,0.005393,2038.759399,73.974327,75.969559,36,0
17,22835,0.400689,0.014958,0.511770,0.005850,0.232733,0.004987,1916.806885,63.140285,109.689697,36,0
18,28047,0.354726,0.013781,0.513580,0.005740,0.227101,0.004488,1919.124390,66.368774,111.099823,36,0
19,20333,0.372847,0.013779,0.519280,0.005544,0.229126,0.004545,1968.500732,64.533691,152.537766,36,0
20,22857,0.453873,0.017725,0.547201,0.006697,0.256084,0.006154,1565.665894,52.582462,108.119026,36,0
21,4692,0.100000,0.017725,0.800000,0.006697,0.300000,0.006154,903.000000,52.582462,108.119026,36,-1
22,23079,0.416590,0.016377,0.519710,0.006784,0.255709,0.005894,1966.373291,68.146935,82.485420,36,0
23,25464,0.331672,0.011001,0.529333,0.004226,0.218629,0.003490,2570.207520,76.813858,209.396927,36,0
24,23230,0.483008,0.018386,0.485293,0.007369,0.237444,0.005854,1844.114258,58.792622,116.936691,36,0
25,20101,0.516778,0.020115,0.505827,0.007934,0.251337,0.006663,1521.180176,49.162247,83.275360,36,0
26,21460,0.405326,0.013635,0.475193,0.005391,0.209052,0.004260,2084.840088,62.268204,205.897873,36,0
27,22344,0.426725,0.016128,0.568146,0.005729,0.259081,0.005560,1702.138672,56.375320,80.035385,36,0
28,24365,0.414232,0.013100,0.526954,0.004538,0.221805,0.004110,2088.884766,59.048641,120.100983,36,0
29,25392,0.363508,0.012803,0.539618,0.004997,0.231611,0.004164,2126.570557,66.691231,124.392067,36,0
30,23989,0.432378,0.017271,0.518701,0.007380,0.260987,0.006185,1890.100708,65.249771,85.380302,36,0
31,24920,0.339805,0.013524,0.565576,0.005640,0.258692,0.004784,2170.140625,77.168335,132.002640,36,0
32,22790,0.466921,0.016430,0.530819,0.006463,0.251003,0.005321,1812.140259,53.541851,88.315399,36,0
33,24141,0.449826,0.015790,0.488548,0.006529,0.238150,0.005220,2078.379395,62.429947,139.269913,36,0
34,30035,0.328132,0.015816,0.570179,0.007266,0.299118,0.006279,2358.640137,102.013748,80.911339,36,0
35,23032,0.388931,0.015013,0.501855,0.006099,0.232376,0.005130,1949.166626,67.121605,142.758102,36,0
36,23243,0.355421,0.013195,0.537478,0.005488,0.248670,0.004705,2364.629395,78.359703,154.921036,36,0
37,21562,0.352677,0.014927,0.558625,0.006516,0.273622,0.005486,2174.395996,81.340805,92.079124,36,0
38,23445,0.375337,0.013372,0.542873,0.005474,0.245567,0.004579,2211.750732,69.257622,147.104446,36,0
39,21510,0.386620,0.017454,0.539639,0.007740,0.280264,0.006612,1868.681396,74.322403,95.799034,36,0
40,22804,0.347479,0.012109,0.531761,0.004471,0.221627,0.003953,2241.895996,70.418312,159.442612,36,0
41,23818,0.410353,0.014730,0.531931,0.005769,0.244029,0.004843,2025.041138,63.085590,103.152885,36,0
42,20962,0.366895,0.015279,0.569796,0.006303,0.271399,0.005549,2025.524536,74.403831,81.878487,36,0
43,22033,0.419113,0.015115,0.493783,0.006359,0.228026,0.004931,1895.208008,59.397335,153.922745,36,0
44,22209,0.391667,0.014624,0.557238,0.005574,0.253442,0.004996,1941.480469,64.025612,82.891403,36,0
45,22221,0.447247,0.018270,0.503549,0.007831,0.251269,0.006261,1637.931030,56.890171,119.595451,36,0
46,21316,0.415009,0.016743,0.548456,0.006874,0.270263,0.005930,1902.067627,66.166763,100.613708,36,0
47,20964,0.406478,0.016160,0.526429,0.006739,0.255628,0.005562,1892.977417,65.198906,91.313339,36,0
48,22477,0.399431,0.013739,0.540747,0.004950,0.230531,0.004378,1964.943726,59.398380,148.160873,36,0
49,26713,0.437667,0.015691,0.556897,0.006166,0.264099,0.005235,1973.121216,59.813759,102.847923,36,0
50,35957,0.362648,0.013766,0.543651,0.005484,0.244227,0.004705,2065.270020,69.367905,130.779419,36,0
51,20337,0.495369,0.015050,0.322766,0.005371,0.112394,0.002552,1135.620605,39.922321,533.746155,36,0
52,3465,0.055509,0.058435,0.816757,0.041632,0.121919,0.016111,421.107635,420.024567,0.000000,0,0
53,29132,0.391576,0.013279,0.540649,0.005094,0.239406,0.004386,2192.131104,65.370865,124.934074,36,0
54,20930,0.343090,0.012743,0.543705,0.004995,0.229383,0.004032,1986.390137,65.672844,146.469727,36,0
55,23393,0.355527,0.012848,0.488757,0.005432,0.222866,0.004385,2437.518311,79.505676,142.603241,36,0
56,23486,0.351567,0.012881,0.513305,0.005462,0.232679,0.004380,2369.637695,77.649338,180.044220,36,0
57,21945,0.325980,0.014272,0.564540,0.006474,0.271172,0.005314,2181.703613,85.865318,119.896027,36,0
58,21278,0.407930,0.015500,0.545189,0.006262,0.262937,0.005809,1898.577637,64.892540,130.502747,36,0
59,4461,0.100000,0.015500,0.800000,0.006262,0.300000,0.005809,829.200012,64.892540,130.502747,36,-1
60,17796,0.422596,0.018631,0.518894,0.007917,0.267410,0.006604,1686.422119,64.369598,103.020599,36,0
61,20324,0.393432,0.014504,0.520092,0.005753,0.229313,0.004711,1800.172729,58.528812,90.266388,36,0
62,31041,0.359414,0.013663,0.565142,0.005443,0.245399,0.004852,1965.509033,66.478828,120.026680,36,0
63,23235,0.397328,0.014822,0.531739,0.005806,0.242154,0.004924,1916.694946,62.541084,80.039261,36,0
