pmt,nentries,mu,emu,q,eq,sigma,esigma,amplitude,eamplitude,chi2,ndf,fitstatus
0,18780,0.244236,0.014270,0.698792,0.005925,0.293854,0.005386,1771.935303,93.825600,146.026199,36,0
1,17643,0.279822,0.017521,0.669322,0.007346,0.310910,0.006844,1591.706787,89.822746,92.093407,36,0
2,15079,0.335442,0.016643,0.609608,0.006474,0.270927,0.006108,1411.951538,62.673916,96.764664,36,0
3,16399,0.304716,0.016309,0.629599,0.006705,0.290391,0.006155,1657.864380,79.515312,46.256569,36,0
4,15171,0.367973,0.018460,0.625653,0.007148,0.282505,0.006710,1307.504639,57.691319,81.973907,36,0
5,1785,0.100000,0.018460,0.800000,0.007148,0.300000,0.006710,330.399994,57.691319,81.973907,36,-1
6,22820,0.344251,0.014864,0.568138,0.006049,0.263062,0.005367,1952.111694,75.422066,79.822342,36,0
7,21494,0.262515,0.014226,0.661909,0.005992,0.300137,0.005626,2098.504150,103.439217,75.501137,36,0
8,18645,0.364125,0.018283,0.589390,0.007267,0.286600,0.006907,1576.428833,70.468430,50.019218,36,0
9,15555,0.302233,0.014771,0.638241,0.005844,0.277692,0.005472,1776.182007,77.943848,69.936165,36,0
10,23215,0.399790,0.016930,0.584082,0.006483,0.266753,0.005933,1525.401978,56.028019,80.500916,36,0
11,19691,0.375341,0.015750,0.571801,0.006129,0.261443,0.005493,1735.408447,63.832478,69.824890,36,0
12,19008,0.304152,0.013700,0.623024,0.005525,0.278263,0.005016,2071.825195,83.843910,66.664925,36,0
13,20868,0.325579,0.016168,0.665214,0.006408,0.319153,0.006092,2049.514648,89.691628,77.299065,36,0
14,19162,0.253132,0.018036,0.698600,0.007660,0.356057,0.007384,2266.535156,146.952133,123.281784,36,0
15,25403,0.319918,0.016749,0.630101,0.007116,0.310936,0.006653,1920.651733,90.061127,98.563614,36,0
16,19998,0.313705,0.015270,0.650626,0.006317,0.305528,0.006014,2089.177979,90.724808,74.901703,36,0
17,20355,0.353502,0.016748,0.594574,0.006822,0.291461,0.006297,1923.526733,81.662193,65.454918,36,0
