pmt,nentries,mu,emu,q,eq,sigma,esigma,amplitude,eamplitude,chi2,ndf,fitstatus
0,28614,0.343831,0.013232,0.466419,0.005142,0.183172,0.003802,1521.553955,54.303452,202.082855,36,0
1,19130,0.357994,0.015549,0.458542,0.006895,0.204956,0.005194,1528.272949,60.581547,180.157043,36,0
2,16848,0.444790,0.017567,0.433691,0.007419,0.192710,0.005175,1334.118774,46.376812,208.309494,36,0
3,17602,0.389405,0.013404,0.462153,0.005305,0.180370,0.003901,1536.411865,46.875526,214.475281,36,0
4,17916,0.489309,0.017849,0.448357,0.006458,0.190179,0.005075,1273.843506,40.479599,193.427902,36,0
5,1770,0.100000,0.017849,0.800000,0.006458,0.300000,0.005075,328.200012,40.479599,193.427902,36,-1
6,23146,0.424542,0.014611,0.426928,0.006312,0.186422,0.004235,1812.999023,55.109707,286.173828,36,0
7,24365,0.385877,0.014199,0.439776,0.006107,0.190418,0.004363,1855.559082,61.381786,243.511917,36,0
8,19697,0.462743,0.017560,0.439747,0.008095,0.205576,0.005448,1501.362427,49.276894,173.749039,36,0
9,17674,0.392222,0.014188,0.459491,0.005708,0.191969,0.004163,1688.068359,55.021004,272.619476,36,0
10,25318,0.483027,0.019758,0.413872,0.008867,0.203425,0.006700,1551.791748,56.455978,197.815277,36,0
11,20652,0.445536,0.015909,0.434053,0.006524,0.192827,0.004881,1754.204102,57.299026,249.294495,36,0
12,21141,0.412887,0.013957,0.444681,0.005950,0.193391,0.004222,1929.449951,58.389980,257.556976,36,0
13,21881,0.448049,0.016593,0.444784,0.007075,0.210409,0.005310,1802.709839,58.376801,224.210037,36,0
14,19603,0.383594,0.013997,0.468809,0.005678,0.199847,0.004283,1785.390747,58.700111,194.721207,36,0
15,26455,0.434964,0.016072,0.440100,0.006904,0.200279,0.004992,1725.685913,56.015781,216.640030,36,0
16,22590,0.412909,0.015704,0.443664,0.006917,0.212954,0.004978,1946.758057,64.041245,228.767044,36,0
17,23750,0.470834,0.016477,0.432228,0.007226,0.203565,0.005150,1751.021484,52.818954,223.016190,36,0
18,28169,0.407105,0.014618,0.437739,0.006580,0.191935,0.004360,1761.439453,55.924957,236.714127,36,0
19,20654,0.441496,0.015349,0.434252,0.006482,0.191026,0.004506,1727.418701,52.412006,241.448700,36,0
20,22354,0.484653,0.019072,0.448121,0.008221,0.220579,0.006045,1505.581909,49.757866,181.111664,36,0
21,14289,0.100000,0.019072,0.800000,0.008221,0.300000,0.006045,2734.399902,49.757866,181.111664,36,-1
22,21106,0.462587,0.016787,0.435944,0.007175,0.205339,0.005267,1752.461304,55.121418,215.033813,36,0
23,23523,0.355080,0.011277,0.445027,0.004731,0.179949,0.003355,2342.363281,68.397308,268.277435,36,0
24,23162,0.496686,0.020308,0.400665,0.009817,0.212828,0.006690,1795.590820,62.084595,197.830566,36,0
25,18254,0.495054,0.019159,0.434957,0.008104,0.208621,0.005943,1450.702515,48.035149,137.871994,36,0
26,19449,0.446075,0.014422,0.413905,0.005960,0.172873,0.003988,1758.645996,51.104401,248.839981,36,0
27,18662,0.456844,0.004729,0.450882,0.003310,0.217674,0.003193,1552.259766,14.768358,182.491699,36,0
28,22799,0.435211,0.014552,0.439155,0.006105,0.193797,0.004300,1926.569092,56.333988,270.266754,36,0
29,23814,0.399631,0.013974,0.454234,0.005820,0.196676,0.004184,1892.029175,58.908634,236.375397,36,0
30,22391,0.434887,0.017326,0.446197,0.007792,0.218469,0.005646,1725.091553,59.707600,184.287781,36,0
31,23495,0.384475,0.014654,0.454971,0.006374,0.205901,0.004494,1825.158203,61.020653,218.275574,36,0
32,22175,0.480756,0.016899,0.454009,0.006150,0.200933,0.005060,1579.858521,49.005520,195.364395,36,0
33,24042,0.458419,0.015720,0.423876,0.007107,0.195663,0.004854,1840.499146,50.027565,247.565552,36,0
34,19694,0.410225,0.018364,0.443931,0.009173,0.237712,0.006408,1858.390015,72.250450,197.787811,36,0
35,24378,0.416781,0.015623,0.428289,0.007075,0.196333,0.004977,1798.247192,59.686916,236.272583,36,0
36,22370,0.394436,0.013360,0.453501,0.005312,0.196521,0.004018,2021.610840,62.289829,258.171478,36,0
37,20398,0.449580,0.016498,0.457560,0.006754,0.207991,0.005202,1643.087036,53.368389,163.826004,36,0
38,33665,0.401958,0.014269,0.455092,0.006130,0.204697,0.004648,1999.429810,63.181057,220.405991,36,0
39,19747,0.441472,0.015842,0.466449,0.006565,0.205012,0.004705,1540.611328,47.618065,188.286697,36,0
40,21425,0.360558,0.012431,0.453136,0.005143,0.187393,0.003850,2094.991943,66.576248,234.028046,36,0
41,21850,0.469644,0.015566,0.449756,0.006049,0.196458,0.004598,1708.053345,49.011799,206.430573,36,0
42,18854,0.403375,0.015186,0.475572,0.005991,0.214225,0.004723,1792.681274,59.809048,203.632156,36,0
43,21356,0.398803,0.014694,0.421368,0.007008,0.193694,0.004582,1982.718994,64.857780,315.265564,36,0
44,20024,0.442997,0.016523,0.447846,0.007170,0.207659,0.005286,1697.639648,55.375599,192.882935,36,0
45,21192,0.476846,0.016450,0.445571,0.006686,0.194471,0.004613,1458.537964,43.217022,217.841187,36,0
46,19591,0.488140,0.018557,0.437923,0.008330,0.218017,0.006031,1681.270386,54.549931,184.754791,36,0
47,19259,0.447894,0.018218,0.426489,0.008571,0.211924,0.006021,1683.011475,59.082233,218.871094,36,0
48,21312,0.416316,0.013850,0.461408,0.005242,0.194201,0.004104,1862.881958,55.079098,237.161987,36,0
49,25455,0.487374,0.017075,0.457564,0.006815,0.213930,0.005483,1787.478271,54.186199,189.601746,36,0
50,24218,0.406310,0.015435,0.453519,0.006705,0.209312,0.005074,1872.707520,63.153862,229.584518,36,0
51,18447,0.622878,0.022434,0.213595,0.004852,0.107337,0.004009,1264.165701,39.993270,672.416535,40,0
52,2550,0.069189,0.073818,0.831226,0.055171,0.157825,0.021993,364.973328,364.030029,0.000000,0,0
53,28689,0.433827,0.014575,0.453431,0.006099,0.205942,0.004608,1997.364868,58.641098,252.574265,36,0
54,20719,0.379014,0.012790,0.438582,0.005191,0.175059,0.003552,1800.708618,55.219223,289.149384,36,0
55,21914,0.426038,0.014388,0.408592,0.006466,0.179331,0.004321,1988.776611,60.529282,280.988983,36,0
56,22954,0.375033,0.012382,0.447515,0.004999,0.185298,0.003576,2207.510742,64.970749,283.391357,36,0
57,20551,0.400789,0.014140,0.467003,0.005899,0.204235,0.004346,1807.263550,57.036770,236.433258,36,0
58,22237,0.477292,0.004499,0.451818,0.002971,0.212698,0.002905,1791.083374,15.519859,172.433990,36,0
59,4163,0.100000,0.004499,0.800000,0.002971,0.300000,0.002905,776.000000,15.519859,172.433990,36,-1
60,19261,0.511356,0.020388,0.429266,0.008977,0.221276,0.006280,1613.550659,52.579647,167.078415,36,0
61,20045,0.413939,0.004074,0.436687,0.002972,0.202972,0.002711,1830.096069,16.790134,230.406998,36,0
62,22908,0.470704,0.016944,0.440449,0.007319,0.208936,0.005388,1762.284180,54.829304,211.196793,36,0
63,24859,0.490986,0.016181,0.446373,0.006602,0.201440,0.004968,1754.087524,50.102451,199.925781,36,0
64,18656,0.439571,0.016865,0.447578,0.007570,0.212095,0.005464,1689.859253,56.163723,185.314194,36,0
65,18725,0.471472,0.017693,0.466346,0.006636,0.220327,0.005763,1546.720337,51.939396,126.217712,36,0
66,22694,0.481135,0.016082,0.452730,0.006451,0.202618,0.004784,1691.437622,48.620525,174.610931,36,0
67,25589,0.535645,0.021143,0.447681,0.009111,0.234683,0.006974,1603.612427,52.331238,148.596725,36,0
68,21295,0.477161,0.015930,0.462249,0.006158,0.207492,0.004853,1773.820312,51.951889,216.908737,36,0
69,20666,0.451159,0.017603,0.448642,0.007755,0.222984,0.005981,1845.105713,63.069286,199.971832,36,0
70,18276,0.521662,0.022494,0.431913,0.010027,0.226688,0.007421,1401.167114,50.565228,152.180008,36,0
71,2768,0.100000,0.022494,0.800000,0.010027,0.300000,0.007421,522.400024,50.565228,152.180008,36,-1
72,19287,0.410062,0.013775,0.437056,0.005697,0.185167,0.004029,1877.702515,56.640583,266.664368,36,0
73,20502,0.459574,0.015540,0.430991,0.006587,0.191352,0.004770,1779.253296,54.332108,264.983307,36,0
74,20471,0.412585,0.014055,0.437327,0.005679,0.177108,0.003956,1636.506348,50.669609,295.679016,36,0
75,25099,0.436791,0.015701,0.421736,0.006685,0.183424,0.004616,1598.172485,51.068695,211.262070,36,0
76,21857,0.480835,0.015617,0.429271,0.006689,0.195632,0.004749,1857.161865,51.447422,246.861160,36,0
77,18411,0.483400,0.016901,0.459541,0.006305,0.200571,0.004997,1480.994507,44.750549,148.943893,36,0
78,17886,0.389035,0.015573,0.451748,0.006881,0.210271,0.005236,1830.395874,65.960747,210.987717,36,0
79,19252,0.469155,0.014353,0.346394,0.005946,0.133318,0.003048,1505.806885,46.343887,509.145172,36,0
80,20548,0.349514,0.014620,0.471101,0.006373,0.211605,0.004833,1714.803833,65.363281,163.838608,36,0
81,20693,0.463837,0.016840,0.447733,0.006871,0.203503,0.005245,1649.457031,51.797153,176.513428,36,0
82,18344,0.430934,0.014455,0.450622,0.005645,0.188148,0.004248,1687.391846,50.482620,215.194504,36,0
83,18693,0.430507,0.015648,0.450154,0.006438,0.200317,0.004864,1675.443237,53.853035,210.618011,36,0
84,17776,0.387366,0.015005,0.444872,0.006333,0.192067,0.004562,1609.003052,56.040848,212.641159,36,0
85,15056,0.372946,0.016571,0.461926,0.007332,0.210012,0.005400,1471.333130,58.936382,156.769455,36,0
86,16263,0.519607,0.018455,0.446543,0.006859,0.195339,0.005367,1298.583984,39.284760,123.424301,36,0
87,18157,0.452270,0.018608,0.450858,0.007847,0.213758,0.005992,1447.030029,51.746559,106.164993,36,0
88,15292,0.374491,0.015974,0.467923,0.006832,0.199027,0.005014,1307.711670,50.221199,138.361420,36,0
89,18747,0.393588,0.015944,0.470005,0.006473,0.205934,0.005017,1488.379028,53.715492,120.634651,36,0
90,14566,0.384086,0.015379,0.458551,0.006116,0.184291,0.004526,1295.013550,47.496872,176.854630,36,0
