pmt,nentries,mu,emu,q,eq,sigma,esigma,amplitude,eamplitude,chi2,ndf,fitstatus
0,24295,0.377188,0.014140,0.406444,0.006060,0.161300,0.003847,1436.117676,51.265034,318.062683,36,0
1,19504,0.437347,0.016660,0.409469,0.007395,0.176414,0.004653,1345.986694,44.963665,238.487442,36,0
2,19114,0.503068,0.018874,0.393055,0.007955,0.171316,0.005027,1217.922729,40.535873,265.003693,36,0
3,19561,0.409911,0.014173,0.413476,0.006068,0.166478,0.003753,1561.336914,49.446285,324.274872,36,0
4,17742,0.478129,0.017916,0.389116,0.009212,0.183098,0.005685,1378.101929,42.768421,272.699158,36,0
5,2367,0.100000,0.017916,0.800000,0.009212,0.300000,0.005685,441.600006,42.768421,272.699158,36,-1
6,24220,0.443694,0.016632,0.393361,0.008194,0.184460,0.004962,1792.590576,58.579800,321.260803,36,0
7,23672,0.402361,0.015157,0.383605,0.007093,0.169499,0.004077,1777.620361,59.056664,347.857788,36,0
8,23545,0.475400,0.017580,0.411667,0.007817,0.185537,0.005133,1491.244873,47.820271,221.619308,36,0
9,18343,0.429849,0.014569,0.409590,0.006279,0.169117,0.003944,1581.323730,48.722134,301.835419,36,0
10,24897,0.482122,0.021256,0.379859,0.010364,0.193715,0.006465,1567.042847,56.966942,300.978363,36,0
11,20918,0.446602,0.015263,0.400139,0.006505,0.172182,0.004281,1710.776733,52.573669,318.325378,36,0
12,20646,0.429208,0.015581,0.404176,0.006757,0.176787,0.004182,1803.354004,56.431496,342.048309,36,0
13,21507,0.461398,0.015908,0.404491,0.007050,0.180104,0.004564,1727.737183,51.711235,269.643311,36,0
14,19282,0.431241,0.015857,0.407954,0.007119,0.177736,0.004593,1590.336426,52.864246,306.271240,36,0
15,26377,0.422589,0.014921,0.412448,0.006499,0.174302,0.004195,1631.920166,51.703716,276.674042,36,0
16,21744,0.488878,0.015488,0.406630,0.006269,0.173996,0.004119,1628.790894,46.491028,273.166382,36,0
17,23545,0.447534,0.015804,0.403067,0.007251,0.185295,0.004434,1848.526489,55.471790,364.737915,36,0
18,27596,0.447118,0.016559,0.398632,0.007372,0.173094,0.004398,1545.019165,50.014446,308.271149,36,0
19,20814,0.432200,0.014481,0.409811,0.006203,0.174389,0.004119,1740.593628,53.336636,310.721161,36,0
20,22194,0.542025,0.019681,0.401643,0.008443,0.186841,0.005602,1379.921753,42.271561,227.374680,36,0
21,2627,0.100000,0.019681,0.800000,0.008443,0.300000,0.005602,506.000000,42.271561,227.374680,36,-1
22,21413,0.468711,0.017383,0.396727,0.007950,0.187361,0.005323,1720.456299,56.306515,293.373016,36,0
23,23355,0.399584,0.014302,0.363437,0.003280,0.185323,0.003004,2382.460480,73.519907,487.895795,40,0
24,23121,0.512221,0.017836,0.388612,0.007919,0.180831,0.005038,1661.097412,48.999119,308.966339,36,0
25,20511,0.532075,0.018799,0.401428,0.007997,0.183252,0.005125,1427.457642,42.563854,247.223633,36,0
26,19634,0.463316,0.015621,0.371813,0.006956,0.161072,0.004172,1764.877563,54.173214,418.704437,36,0
27,19107,0.466165,0.016470,0.415125,0.006883,0.181497,0.004738,1523.414307,47.560581,210.572327,36,0
28,22988,0.420295,0.014161,0.404668,0.006780,0.179315,0.004295,2061.561768,61.849335,302.254730,36,0
29,24377,0.430705,0.014130,0.412040,0.005903,0.173427,0.003915,1803.805298,52.660942,314.761719,36,0
30,22612,0.456973,0.018042,0.394516,0.008713,0.192104,0.005568,1717.541992,58.778625,297.442810,36,0
31,22299,0.434668,0.015008,0.407945,0.006324,0.169725,0.004030,1568.064209,48.292088,310.653351,36,0
32,20030,0.469187,0.016319,0.411195,0.007090,0.183392,0.004712,1642.289795,50.153332,255.099686,36,0
33,22177,0.485858,0.015871,0.389666,0.007057,0.174256,0.004642,1825.833618,52.164654,320.978485,36,0
34,19711,0.469385,0.017086,0.419830,0.007610,0.194758,0.005228,1649.166870,52.216438,216.076340,36,0
35,19091,0.425428,0.016539,0.392038,0.007536,0.176299,0.004752,1704.166138,57.775421,267.720428,36,0
36,21161,0.377694,0.013344,0.405008,0.006375,0.175208,0.003903,2113.157471,67.223373,353.811462,36,0
37,19359,0.424997,0.015644,0.412644,0.007150,0.185288,0.004766,1726.787720,56.775246,224.478165,36,0
38,21194,0.402111,0.003873,0.408741,0.002679,0.181890,0.002415,1961.863770,17.883335,322.167023,36,0
39,19348,0.421554,0.016499,0.419087,0.007583,0.187584,0.004886,1570.541992,54.077084,222.383759,36,0
40,19847,0.363691,0.013379,0.406540,0.006390,0.175369,0.003889,2007.823608,67.264328,325.465576,36,0
41,19959,0.432339,0.014365,0.423154,0.005821,0.179125,0.004031,1779.595703,52.851303,261.904694,36,0
42,18970,0.418932,0.015860,0.423850,0.006513,0.191093,0.004884,1695.981445,58.968723,234.878296,36,0
43,19401,0.429423,0.016245,0.386865,0.007607,0.174780,0.004772,1718.730347,58.187809,287.852051,36,0
44,18371,0.428578,0.014830,0.419101,0.006157,0.173977,0.004082,1594.347046,50.979603,271.657043,36,0
45,20399,0.503139,0.019460,0.385043,0.009241,0.185329,0.005654,1464.072998,45.542641,250.546143,36,0
46,18700,0.476506,0.017951,0.411097,0.007980,0.191938,0.005444,1579.109497,51.153595,213.288757,36,0
47,18752,0.430969,0.016604,0.396052,0.007983,0.180464,0.004854,1633.229736,55.631962,236.231262,36,0
48,19414,0.447776,0.014414,0.420058,0.005580,0.169849,0.003893,1618.620728,47.247898,258.790955,36,0
49,23977,0.486905,0.017057,0.413431,0.007193,0.188063,0.004976,1656.289795,49.921909,209.103729,36,0
50,25385,0.416987,0.015495,0.415222,0.006997,0.185492,0.004643,1754.807861,57.909069,279.028534,36,0
51,14856,0.576228,0.021280,0.334349,0.005719,0.103842,0.002865,512.330505,23.154556,327.324188,36,0
52,3375,0.100000,0.021280,0.800000,0.005719,0.300000,0.002865,643.799988,23.154556,327.324188,36,-1
53,22741,0.422676,0.014833,0.388478,0.007218,0.176205,0.004404,1983.947388,62.732605,350.098114,36,0
54,19283,0.404329,0.014078,0.390120,0.006361,0.156684,0.003673,1567.473267,51.783272,337.917297,36,0
