pmt,nentries,mu,emu,q,eq,sigma,esigma,amplitude,eamplitude,chi2,ndf,fitstatus
58,2692,0.478992,0.050752,0.460298,0.020969,0.222080,0.016061,205.503433,18.603090,47.923771,35,0
59,281,0.100000,0.050752,0.800000,0.020969,0.300000,0.016061,53.400002,18.603090,47.923771,35,-1
60,2081,0.393605,0.050522,0.452032,0.023241,0.224214,0.016489,196.304398,22.176563,62.653095,36,0
61,1989,0.346729,0.037264,0.472312,0.015901,0.194892,0.012246,215.816162,21.257645,48.805191,36,0
62,2366,0.408881,0.040545,0.484915,0.015221,0.202296,0.011926,193.515289,17.175541,45.143818,35,0
63,2428,0.455580,0.012995,0.438814,0.008199,0.187956,0.007769,197.625671,5.240672,40.952614,34,0
64,2009,0.382912,0.041633,0.490387,0.014445,0.199529,0.012621,188.868454,18.421141,41.500404,36,0
65,1759,0.378966,0.060839,0.420592,0.033723,0.236140,0.027879,197.817657,31.951220,39.215652,35,0
66,2252,0.350535,0.044091,0.456755,0.022727,0.227971,0.015349,233.802216,26.143570,63.359844,36,0
67,2275,0.327332,0.063941,0.424117,0.037333,0.291190,0.027267,270.363953,51.358540,40.218319,36,0
68,1997,0.394987,0.041422,0.469142,0.016067,0.190878,0.013065,192.742554,18.428162,48.250420,36,0
69,2009,0.408004,0.052911,0.429602,0.028040,0.221305,0.018886,209.609573,23.510960,46.312550,36,0
70,2286,0.318553,0.049574,0.443178,0.027262,0.231401,0.018792,218.557541,31.331774,52.904171,35,0
71,198,0.100000,0.049574,0.800000,0.027262,0.300000,0.018792,36.400002,31.331774,52.904171,35,-1
72,1977,0.306305,0.032622,0.434884,0.014402,0.170424,0.010043,244.837906,24.754953,38.143032,35,0
73,2015,0.462929,0.052865,0.420339,0.022752,0.195713,0.016331,190.631104,19.499956,43.193508,34,0
74,2006,0.344255,0.056889,0.395205,0.034737,0.221559,0.022698,220.717911,33.830414,54.698933,36,0
75,2278,0.430882,0.041644,0.435829,0.015587,0.168416,0.011025,160.127884,14.152433,37.846535,35,0
76,2165,0.348938,0.040053,0.431120,0.018876,0.197051,0.013204,241.080719,25.197433,43.230053,36,0
77,1746,0.354720,0.050301,0.465027,0.020352,0.216268,0.018788,184.115265,24.872242,29.779181,36,0
78,2273,0.374330,0.041154,0.460970,0.017370,0.187017,0.012647,179.276855,17.944830,37.765919,34,0
79,1873,0.396892,0.072241,0.292487,0.042809,0.156969,0.019487,212.551239,31.104090,63.624424,33,0
80,1900,0.238511,0.033154,0.498163,0.013666,0.190625,0.011171,231.859589,30.372042,47.639774,34,0
81,2120,0.424594,0.047529,0.447425,0.017970,0.192390,0.015804,178.522278,18.602552,51.642490,35,0
82,1962,0.384645,0.049503,0.425104,0.022738,0.199437,0.018563,200.494308,24.316769,33.829819,36,0
83,2044,0.286983,0.038287,0.466019,0.017752,0.208493,0.014140,254.167267,32.213112,72.582077,36,0
84,1830,0.293885,0.043767,0.448626,0.020928,0.214789,0.015814,232.057648,32.389545,35.162144,33,0
85,1673,0.284644,0.047247,0.458754,0.022700,0.218014,0.017272,174.640060,27.494520,47.102840,35,0
86,1783,0.404466,0.042473,0.477320,0.012628,0.175693,0.012076,166.395706,16.092342,37.785961,35,0
87,1827,0.343436,0.048787,0.442949,0.025522,0.216734,0.018782,208.798508,27.438560,47.002110,36,0
88,1829,0.303801,0.055331,0.453593,0.025754,0.223896,0.021623,177.822861,31.258244,43.797588,34,0
89,1831,0.342459,0.037580,0.520068,0.011332,0.183391,0.009610,169.440292,16.837101,38.837013,35,0
90,1498,0.275638,0.043830,0.442992,0.022002,0.194578,0.016161,187.517700,28.910891,48.001225,33,0
91,6130,0.474603,0.051055,0.344321,0.030557,0.243989,0.017315,626.491394,50.977421,85.065079,36,0
92,1500,0.412215,0.048571,0.284798,0.019947,0.099818,0.010004,96.076515,15.994756,69.544426,31,0
93,2660,0.392761,0.038455,0.476053,0.014373,0.192057,0.011762,209.171555,18.404715,66.621765,36,0
94,1904,0.389525,0.046540,0.463591,0.019172,0.198294,0.013684,165.371185,17.993780,64.046768,36,0
95,2190,0.376697,0.038172,0.356282,0.021103,0.147992,0.010527,213.264572,21.706495,61.963921,35,0
96,2147,0.409742,0.037838,0.469562,0.014663,0.181853,0.011252,188.895126,15.686642,54.555355,36,0
97,2283,0.463897,0.057952,0.408847,0.028885,0.216852,0.018555,211.541473,21.525171,53.940525,36,0
98,1808,0.297314,0.038248,0.484124,0.016042,0.204203,0.013283,223.085022,26.884254,45.854984,36,0
99,2352,0.316001,0.043332,0.436274,0.020795,0.208905,0.015452,243.577682,31.205080,45.474556,35,0
100,3088,0.476410,0.052223,0.401907,0.023131,0.191208,0.016529,203.816925,19.769573,45.833698,36,0
101,2715,0.464013,0.055478,0.423861,0.029029,0.233380,0.019863,236.338684,23.796822,51.214279,36,0
102,2306,0.324295,0.043190,0.417784,0.023323,0.208322,0.015046,265.509949,32.188683,51.669785,36,0
103,656,0.100000,0.043190,0.800000,0.023323,0.300000,0.015046,124.800003,32.188683,51.669785,36,-1
104,2627,0.496876,0.045718,0.443747,0.017397,0.185868,0.012259,182.102814,14.378576,52.720497,36,0
105,2197,0.432682,0.042790,0.455045,0.017364,0.190784,0.013553,199.912811,17.914719,59.565487,35,0
106,2390,0.450425,0.043320,0.445380,0.016911,0.197573,0.012207,215.006866,17.667473,65.629211,36,0
107,2337,0.385305,0.040043,0.474014,0.015072,0.198066,0.011622,208.473694,19.283667,50.711761,36,0
108,2399,0.283102,0.048671,0.402568,0.030470,0.243108,0.023869,343.044342,60.308537,67.860039,36,0
109,2475,0.385418,0.052264,0.418378,0.029386,0.239976,0.017559,263.562836,32.273952,63.977669,36,0
110,2189,0.366475,0.049974,0.440823,0.028161,0.242376,0.018962,253.763229,30.441042,39.376141,34,0
111,2664,0.483558,0.046758,0.423758,0.018967,0.187670,0.013591,198.068176,16.723436,57.627865,35,0
112,2560,0.334630,0.038326,0.464397,0.017476,0.199049,0.012414,240.657715,25.314972,52.390606,36,0
113,2748,0.335416,0.034884,0.469412,0.015360,0.204638,0.011517,285.828522,27.138506,46.342236,36,0
114,2679,0.365876,0.039101,0.463457,0.016382,0.200954,0.013097,236.151443,22.977457,47.507671,35,0
115,3237,0.489488,0.065199,0.465415,0.032741,0.235904,0.022543,190.609802,18.969723,42.122978,36,0
116,2486,0.383564,0.039940,0.478210,0.016099,0.205812,0.012560,223.861801,20.850393,47.743156,36,0
117,6535,0.364555,0.032754,0.403776,0.017635,0.231054,0.011497,668.123413,52.241390,82.696739,36,0
118,2638,0.319983,0.044286,0.432555,0.024584,0.233536,0.016928,283.531769,35.920765,43.055336,35,0
119,2763,0.538709,0.058107,0.433983,0.022608,0.198794,0.018577,167.748215,15.804576,57.974300,36,0
120,2301,0.481233,0.063134,0.418112,0.029139,0.221082,0.022135,191.078873,21.917782,31.726585,36,0
121,2248,0.407301,0.040742,0.501547,0.014052,0.203003,0.011904,195.712463,17.299244,47.201195,36,0
122,2408,0.430042,0.048997,0.473159,0.020206,0.209789,0.016470,171.785126,17.564919,61.632446,36,0
123,2697,0.406083,0.049064,0.428747,0.023265,0.224971,0.016845,243.385025,26.355635,43.168972,36,0
124,2267,0.329670,0.046752,0.440537,0.025870,0.237242,0.018674,274.206573,36.229313,48.625763,36,0
125,2211,0.383594,0.047080,0.444770,0.019931,0.212788,0.016343,223.283585,25.054056,58.845955,36,0
126,2725,0.404275,0.032984,0.455059,0.012181,0.173652,0.008750,245.155029,17.900816,42.062634,35,0
127,346,0.100000,0.032984,0.800000,0.012181,0.300000,0.008750,64.800003,17.900816,42.062634,35,-1
128,2239,0.425998,0.041573,0.473367,0.015431,0.194512,0.012353,199.032043,17.176138,48.658195,36,0
129,2566,0.474029,0.042823,0.468037,0.016121,0.195480,0.011260,189.717224,14.836400,77.361160,36,0
130,2290,0.426314,0.047238,0.410832,0.022800,0.193640,0.014399,214.898743,20.676802,43.675171,35,0
131,213,0.100000,0.047238,0.800000,0.022800,0.300000,0.014399,40.400002,20.676802,43.675171,35,-1
132,2101,0.466134,0.051081,0.438661,0.022352,0.205644,0.015666,180.546661,17.294371,46.231064,35,0
133,2519,0.426848,0.041273,0.436170,0.017901,0.187630,0.012164,217.584534,18.652939,71.925369,36,0
134,2531,0.349419,0.044977,0.469051,0.022196,0.229156,0.016366,226.701828,26.364010,49.706291,35,0
