pmt,nentries,mu,emu,q,eq,sigma,esigma,amplitude,eamplitude,chi2,ndf,fitstatus
0,17866,0.436079,0.018209,0.347941,0.008493,0.149627,0.004547,1302.713623,49.991302,339.390839,36,0
1,19707,0.435187,0.016060,0.391590,0.007125,0.161922,0.004278,1283.452759,44.253338,264.792328,36,0
2,17542,0.463855,0.019928,0.369919,0.008962,0.167140,0.005643,1254.192749,48.019211,294.971649,36,0
3,17739,0.423631,0.015826,0.379260,0.007395,0.161963,0.004247,1498.666748,51.795113,360.611298,36,0
4,17464,0.475074,0.017672,0.383314,0.007729,0.164008,0.004645,1286.955566,43.160702,286.407074,36,0
5,2058,0.100000,0.017672,0.800000,0.007729,0.300000,0.004645,382.600006,43.160702,286.407074,36,-1
6,23638,0.433243,0.014984,0.372439,0.007325,0.165076,0.004167,1862.388794,59.269024,437.722015,36,0
7,23599,0.424092,0.014798,0.369049,0.006905,0.152504,0.003923,1638.043701,54.177898,390.963165,36,0
8,20682,0.480288,0.016804,0.394988,0.007603,0.173300,0.004563,1480.461426,46.772373,286.448425,36,0
9,18564,0.467368,0.015277,0.381449,0.006319,0.153938,0.003780,1500.674316,45.263691,350.638641,36,0
10,24985,0.526238,0.017192,0.374601,0.007245,0.166352,0.004702,1405.636475,43.188633,316.722137,36,0
11,22279,0.447569,0.015506,0.380007,0.007073,0.166997,0.004221,1791.215454,56.182205,365.783600,36,0
12,21581,0.439265,0.013507,0.387655,0.005829,0.156338,0.003467,1777.984863,50.784828,372.109741,36,0
13,21189,0.448861,0.015624,0.374613,0.007953,0.173328,0.004585,1789.981079,55.617504,448.819458,36,0
14,20074,0.439494,0.015404,0.380770,0.006886,0.159764,0.003986,1543.589966,49.761040,371.500427,36,0
15,26742,0.430971,0.015966,0.379644,0.007506,0.167663,0.004416,1665.903687,54.056892,366.545654,36,0
16,22327,0.465977,0.017185,0.373188,0.007949,0.174693,0.004958,1748.808228,57.449944,360.172760,36,0
17,25190,0.508176,0.016714,0.387129,0.007051,0.168927,0.004338,1607.191284,45.889584,322.865448,36,0
18,28214,0.470438,0.016848,0.379501,0.007942,0.168565,0.004521,1509.037842,48.317596,338.644867,36,0
19,21629,0.495082,0.017086,0.374642,0.007942,0.170526,0.004638,1663.101440,50.292751,392.578796,36,0
20,22726,0.515695,0.016418,0.401678,0.006451,0.165717,0.004030,1379.685791,38.078224,299.721405,36,0
21,14988,0.100000,0.016418,0.800000,0.006451,0.300000,0.004030,2841.199951,38.078224,299.721405,36,-1
22,22068,0.486860,0.016838,0.380550,0.007527,0.171185,0.004414,1684.658569,50.176311,375.563934,36,0
23,24739,0.436212,0.014053,0.354889,0.003492,0.167914,0.002975,2321.269676,66.331658,552.034063,39,0
24,25772,0.498837,0.018458,0.366031,0.008618,0.176335,0.004856,1781.997437,54.717079,396.389465,36,0
25,20587,0.555652,0.018577,0.382413,0.007727,0.169725,0.004847,1349.037231,38.296028,326.304901,36,0
26,22576,0.479773,0.015322,0.359855,0.006907,0.155800,0.003858,1829.600830,53.543411,475.916016,36,0
27,22570,0.539966,0.017856,0.386396,0.007237,0.168039,0.004736,1399.043701,41.016346,333.161621,36,0
28,24720,0.483745,0.014827,0.375545,0.006297,0.159820,0.003761,1910.932739,51.855530,430.960571,36,0
29,25431,0.462877,0.013568,0.396043,0.005135,0.153011,0.003146,1705.726929,45.051117,385.862701,36,0
30,23991,0.472119,0.015557,0.394636,0.006998,0.166587,0.004156,1626.376831,47.406677,320.608154,36,0
31,23516,0.423980,0.014208,0.386207,0.006101,0.156496,0.003623,1603.735718,50.593052,424.191559,36,0
32,23470,0.500986,0.015634,0.392846,0.006386,0.164855,0.004041,1587.088745,44.270416,349.184967,36,0
33,23905,0.438990,0.013356,0.387609,0.006074,0.159765,0.003495,1934.406250,54.561184,417.283478,36,0
34,32569,0.463817,0.017948,0.387881,0.008799,0.189514,0.005433,1746.945068,58.505543,307.401184,36,0
35,21049,0.461149,0.015134,0.383327,0.006928,0.164618,0.004055,1690.161011,47.054810,339.325745,36,0
36,23163,0.441295,0.013441,0.384714,0.005927,0.158624,0.003448,1840.179199,48.343693,418.185272,36,0
37,21561,0.487991,0.015793,0.388602,0.006647,0.164300,0.004069,1547.579346,45.247658,383.311096,36,0
38,34418,0.415303,0.014775,0.384466,0.007420,0.173819,0.004263,1976.017944,62.314148,375.774963,36,0
39,20607,0.486518,0.016442,0.396477,0.006574,0.163307,0.004218,1411.813965,41.923100,305.944366,36,0
40,20859,0.426217,0.015122,0.377750,0.006969,0.160808,0.003874,1806.052002,56.845272,367.828888,36,0
41,21560,0.478062,0.015540,0.384768,0.006727,0.167131,0.004120,1755.405762,51.148075,385.681183,36,0
42,18716,0.422028,0.013987,0.397404,0.006542,0.170580,0.004067,1739.057617,53.805820,339.675690,36,0
43,20816,0.455241,0.014935,0.370820,0.006423,0.153036,0.003679,1698.690796,51.175453,402.223206,36,0
44,20219,0.480247,0.015287,0.390840,0.006174,0.158963,0.003873,1503.041626,43.660049,292.766418,36,0
45,20011,0.516078,0.021756,0.356656,0.009609,0.170064,0.005826,1374.638672,48.911209,286.375702,36,0
46,19317,0.490832,0.017777,0.381505,0.008157,0.173609,0.004946,1558.954468,49.381935,284.462860,36,0
47,18006,0.452069,0.017347,0.366521,0.007949,0.161994,0.004718,1543.656006,54.011948,297.278870,36,0
48,18934,0.470902,0.015918,0.383560,0.006969,0.166942,0.004300,1640.550659,49.445335,310.801605,36,0
49,22470,0.462162,0.016538,0.391689,0.007822,0.180691,0.004803,1803.471924,55.188641,262.387604,36,0
50,29788,0.429324,0.015480,0.392115,0.007102,0.172586,0.004392,1709.136719,55.246239,312.443756,36,0
51,13975,0.681953,0.028603,0.191301,0.004782,0.110415,0.004878,973.706694,35.023543,657.947596,41,0
52,3824,0.100000,0.021689,0.800000,0.006206,0.300000,0.003021,729.000000,19.124439,312.527649,36,-1
53,28676,0.433809,0.013180,0.396141,0.005786,0.162679,0.003473,1875.687134,52.067589,350.744354,36,0
54,18809,0.448702,0.013091,0.368250,0.005192,0.135630,0.002883,1438.186279,43.344780,408.483459,36,0
55,19854,0.408389,0.013948,0.357733,0.006656,0.146033,0.003547,1792.227783,59.270199,410.228760,36,0
56,22174,0.402431,0.012102,0.389049,0.005300,0.151145,0.003021,1944.837402,56.063576,398.032990,36,0
57,20190,0.446855,0.015048,0.387256,0.006506,0.161231,0.003883,1604.294312,49.343643,301.678345,36,0
58,20683,0.501726,0.016087,0.391845,0.006513,0.167239,0.004174,1595.689941,45.245014,291.544678,36,0
59,6231,0.100000,0.016087,0.800000,0.006513,0.300000,0.004174,1173.800049,45.245014,291.544678,36,-1
60,18051,0.475526,0.017132,0.387320,0.007747,0.173494,0.004798,1574.587402,49.543617,298.245758,36,0
61,20821,0.475311,0.015353,0.385720,0.006328,0.157315,0.003787,1538.576294,45.150349,387.109741,36,0
62,21700,0.437298,0.015070,0.389449,0.006598,0.167677,0.003999,1734.134766,53.347557,331.788330,36,0
